Operation,Operand1,Operand2,Result
Add,4,3,7
Add,3,4,7
Add,3,4,7
Subtract,4,5,-1
Multiply,10,32,320
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
Add,10,5,15.0
Subtract,5,3,2.0
Multiply,5,5,25.0
Divide,25,5,5.0
Add,10,5,15
Subtract,10,3,7
